id,name,role,nationality,basePrice,dynamicRating,age,form_runs,form_wickets,impact_total,overall_rating,is_overseas,is_uncapped,form_score,current_retained_count,current_overseas_retained_count,retain_decision
IPL26-001,MS Dhoni,WICKET_KEEPER,Indian,2.0,76.0,44.0,150.0,0.0,492.22,76.0,0,1,100.0,4,0,0
IPL26-002,Ruturaj Gaikwad,BATSMAN,Indian,2.0,79.0,29.0,0.0,0.0,0.0,79.0,0,1,66.45071229516849,5,1,0
IPL26-003,Sanju Samson,WICKET_KEEPER,Indian,2.0,85.0,31.0,0.0,0.0,0.0,85.0,0,1,62.92603548243223,1,2,1
IPL26-004,Shivam Dube,ALL_ROUNDER,Indian,2.0,,32.0,0.0,0.0,0.0,50.0,0,1,39.715328071510385,1,2,0
IPL26-005,Ayush Mhatre,BATSMAN,Indian,0.25,73.0,18.0,0.0,0.0,0.0,73.0,0,1,75.84544784612038,5,0,0
IPL26-006,Dewald Brevis,BATSMAN,South African,1.0,68.0,23.0,0.0,0.0,0.0,68.0,1,1,44.48769937914996,0,0,0
IPL26-007,Urvil Patel,WICKET_KEEPER,Indian,0.25,69.0,27.0,197.0,0.0,268.05,69.0,0,1,100.0,3,1,0
IPL26-008,Noor Ahmad,BOWLER,Afghan,1.5,76.0,21.0,0.0,12.0,701.28,76.0,1,1,100.0,1,1,1
IPL26-009,Nathan Ellis,BOWLER,Australian,1.0,71.0,26.0,0.0,0.0,0.0,71.0,1,1,47.487945645762295,5,2,0
IPL26-010,Shreyas Gopal,BOWLER,Indian,2.0,76.0,32.0,0.0,0.0,0.0,76.0,0,1,79.68819223261087,5,2,0
IPL26-011,Khaleel Ahmed,BOWLER,Indian,2.0,80.0,26.0,0.0,0.0,0.0,80.0,0,1,71.51152093729362,2,0,0
IPL26-012,Ramakrishna Ghosh,BOWLER,Indian,0.25,55.0,28.0,0.0,0.0,0.0,55.0,0,1,27.95788421097572,3,2,0
IPL26-013,Mukesh Choudhary,BOWLER,Indian,1.5,68.0,30.0,0.0,9.0,140.19,68.0,0,1,100.0,4,1,0
IPL26-014,Jamie Overton,ALL_ROUNDER,English,1.0,,32.0,0.0,0.0,0.0,50.0,1,1,38.13840065378947,0,0,0
IPL26-015,Gurjapneet Singh,BOWLER,Indian,0.5,58.0,27.0,0.0,4.0,99.53,58.0,0,1,100.0,4,0,0
IPL26-016,Anshul Kamboj,ALL_ROUNDER,Indian,0.5,,31.0,0.0,0.0,0.0,50.0,0,1,23.048734607813067,3,1,0
IPL26-017,Prashant Veer,BATSMAN,Indian,0.25,73.0,20.0,0.0,0.0,0.0,73.0,0,1,46.01405369644615,3,1,0
IPL26-018,Kartik Sharma,WICKET_KEEPER,Indian,0.25,70.0,26.0,277.0,0.0,292.84,70.0,0,1,100.0,3,1,0
IPL26-019,Rahul Chahar,BOWLER,Indian,2.0,78.0,26.0,0.0,0.0,0.0,78.0,0,1,61.629434073490515,4,1,0
IPL26-020,Akeal Hosein,BOWLER,West Indian,1.0,71.0,33.0,0.0,0.0,0.0,71.0,1,1,22.300796330133032,3,0,0
IPL26-021,Matt Henry,BOWLER,New Zealander,1.0,54.0,47.0,0.0,0.0,0.0,54.0,1,1,8.126232512304508,5,0,0
IPL26-022,Matthew Short,BATSMAN,Australian,1.0,64.0,26.0,0.0,0.0,0.0,64.0,1,1,35.56568706138541,4,2,0
IPL26-023,Sarfaraz Khan,BATSMAN,Indian,1.0,67.0,26.0,0.0,0.0,0.0,67.0,0,1,31.80753319498364,3,1,0
