id,name,nationality,dynamicRating,age,impact_total,overall_rating,is_overseas,is_uncapped,form_score,current_retained_count,current_overseas_retained_count,retain_decision
IPL26-001,MS Dhoni,Indian,76.0,44.0,492.22,76.0,0,0,100.0,4,0,0
IPL26-002,Ruturaj Gaikwad,Indian,79.0,29.0,0.0,79.0,0,0,66.45071229516849,5,1,0
IPL26-003,Sanju Samson,Indian,85.0,31.0,0.0,85.0,0,0,62.92603548243223,1,2,1
IPL26-004,Shivam Dube,Indian,,32.0,0.0,50.0,0,0,39.715328071510385,1,2,0
IPL26-005,Ayush Mhatre,Indian,73.0,18.0,0.0,73.0,0,1,75.84544784612038,5,0,0
IPL26-006,Dewald Brevis,South African,68.0,23.0,0.0,68.0,1,1,44.48769937914996,0,0,0
IPL26-007,Urvil Patel,Indian,69.0,27.0,268.05,69.0,0,0,100.0,3,1,0
IPL26-008,Noor Ahmad,Afghan,76.0,21.0,701.28,76.0,1,1,100.0,1,1,1
IPL26-009,Nathan Ellis,Australian,71.0,26.0,0.0,71.0,1,0,47.487945645762295,5,2,0
IPL26-010,Shreyas Gopal,Indian,76.0,32.0,0.0,76.0,0,0,79.68819223261087,5,2,0
IPL26-011,Khaleel Ahmed,Indian,80.0,119.0,0.0,80.0,0,0,71.51152093729362,2,0,0
IPL26-012,Ramakrishna Ghosh,Indian,55.0,28.0,0.0,55.0,0,0,27.95788421097572,3,2,0
IPL26-013,Mukesh Choudhary,Indian,68.0,30.0,140.19,68.0,0,0,100.0,4,1,0
IPL26-014,Jamie Overton,English,,32.0,0.0,50.0,1,0,38.13840065378947,0,0,0
IPL26-015,Gurjapneet Singh,Indian,58.0,27.0,99.53,58.0,0,0,100.0,4,0,0
IPL26-016,Anshul Kamboj,Indian,,31.0,0.0,50.0,0,0,23.048734607813067,3,1,0
IPL26-017,Prashant Veer,Indian,73.0,20.0,0.0,73.0,0,1,46.01405369644615,3,1,0
IPL26-018,Kartik Sharma,Indian,70.0,26.0,292.84,70.0,0,0,100.0,3,1,0
IPL26-019,Rahul Chahar,Indian,78.0,26.0,0.0,78.0,0,0,61.629434073490515,4,1,0
IPL26-020,Akeal Hosein,West Indian,71.0,33.0,0.0,71.0,0,0,22.300796330133032,3,0,0
IPL26-021,Matt Henry,New Zealander,54.0,47.0,0.0,54.0,1,0,8.126232512304508,5,0,0
IPL26-022,Matthew Short,Australian,64.0,338.0,0.0,64.0,1,0,35.56568706138541,4,2,0
IPL26-023,Sarfaraz Khan,Indian,67.0,326.0,0.0,67.0,0,0,31.80753319498364,3,1,0
IPL26-024,Zak Foulkes,English,81.0,24.0,0.0,81.0,1,0,65.71370998892911,5,2,0
IPL26-025,Aman Khan,Indian,64.0,77.0,0.0,64.0,0,0,30.37963886718184,2,0,0
IPL26-026,KL Rahul,Indian,87.0,34.0,1380.75,87.0,0,0,100.0,3,0,0
IPL26-027,Axar Patel,Indian,,32.0,0.0,50.0,0,0,8.815444479970626,4,0,0
IPL26-028,Kuldeep Yadav,Indian,77.0,26.0,718.52,77.0,0,0,100.0,1,0,0
IPL26-029,T. Natarajan,Indian,75.0,26.0,0.0,75.0,0,0,76.98473153382331,3,0,0
IPL26-030,Mitchell Starc,Australian,80.0,36.0,0.0,80.0,1,0,56.61335549270196,1,0,0
IPL26-031,Tristan Stubbs,South African,77.0,25.0,0.0,77.0,1,0,58.012923070318855,5,0,0
IPL26-032,Mukesh Kumar,Indian,67.0,26.0,521.18,67.0,0,0,100.0,2,1,0
IPL26-033,Nitish Rana,Indian,76.0,32.0,0.0,76.0,0,0,34.62877720679815,0,0,0
IPL26-034,Abishek Porel,Indian,69.0,23.0,743.92,69.0,0,1,100.0,2,0,0
IPL26-035,Ashutosh Sharma,Indian,72.0,65.0,869.41,72.0,0,0,100.0,3,1,0
IPL26-036,Sameer Rizvi,Indian,71.0,22.0,503.63,71.0,0,1,100.0,1,1,0
IPL26-037,Karun Nair,Indian,70.0,34.0,0.0,70.0,0,0,41.834259132122256,1,2,0
IPL26-038,Dushmantha Chameera,Sri Lankan,61.0,34.0,0.0,61.0,1,0,42.663838845647994,4,0,0
IPL26-039,Vipraj Nigam,Indian,,21.0,0.0,50.0,0,1,12.735096338665457,1,2,0
IPL26-040,Ajay Mandal,Indian,,26.0,0.0,50.0,0,0,35.63547027518508,4,0,0
IPL26-041,Madhav Tiwari,Indian,70.0,22.0,0.0,70.0,0,1,40.99041965121793,5,1,0
IPL26-042,Tripurana Vijay,Indian,50.0,24.0,0.0,50.0,0,0,25.624593753100847,0,0,0
IPL26-043,Auqib Nabi Dar,Indian,,26.0,0.0,50.0,0,0,20.974400816559047,3,1,0
